name,address,lat,lng,zone
Cuerpo y Alma,"Av. de Mayo 668, DCT",-34.5143929,-58.54177629999999,san isidro
Casa del Yoga,"B1636CDA, Valle Grande 3341, Olivos",-34.5141284,-58.5113935,san isidro
YOGA DRISHTI,"1636, Eduardo Ramseyer 1431, Buenos Aires",-34.5133346,-58.48817039999999,san isidro
Studio Cata Olivos ( Yoga - Stretching- Hipopresivo-Zumba),"Ricardo Gutiérrez 1835, Olivos",-34.5133055,-58.4947649,san isidro
respiro yoga,"Cosme Argerich 1847, San Isidro",-34.5126299,-58.53958759999999,san isidro
Lauriaba estudio,"Córdoba 2411, Olivos",-34.5123365,-58.4881554,san isidro
Yoga Respira Vida,"Soldado de Malvinas 402, Villa Adelina",-34.5115933,-58.53719939999999,san isidro
Comunidad Espacios,"Roque Sáenz Peña 1690, Olivos",-34.5111121,-58.4939043,vilo2
INDIGO Yoga,"Ciudad Autónoma de Buenos Aires AR, Roberto Wernicke, Villa Adelina",-34.5109967,-58.5379026,san isidro
Caro Morganti Yoga Studio,"Av. Maipú 2923, Olivos",-34.5089905,-58.4915692,san isidro
Shala Luna Yoga - Catamarca,"Catamarca 2708, Olivos",-34.5077257,-58.4851652,san isidro
Escuela Yoga Arco Iris,"Gral. Pacheco 3597, Olivos",-34.5075842,-58.5032935,san isidro
Shala Luna Yoga - Pelliza,"Mariano Pelliza 1196, Olivos",-34.5069544,-58.48910590000001,san isidro
Prithvi Yoga,"Santiago del Estero 2480, Martínez",-34.5036068,-58.5262195,san isidro
Anahata Yoga,"Dr. Jonas Salk 4245, Buenos Aires",-34.5035371,-58.50867179999999,san isidro
Clases De Yoga en La Lucila - Abhaya yoga,"Domingo de Acassuso 1001, La Lucila",-34.5033978,-58.48952,san isidro
Ahora Yoga,"Av. Maipú 3633, La Lucila",-34.5021944,-58.4949889,san isidro
YOGA SUTRA,"J. Ingenieros 1053, La Lucila",-34.5018817,-58.491116,san isidro
Axa Yoga,"Edison 1658, Martínez",-34.5018454,-58.51813359999999,san isidro
Devayana Escuela de Yoga,"B1640CGL, Castelli 2646, Martínez",-34.5011988,-58.5111173,san isidro
Yoga A Domicilio,"Pje Galileo Galilei 2839, Martínez",-34.5010139,-58.5060185,san isidro
Masajes Y Quiropraxia Galileo,"Pje Galileo Galilei 2839, Martínez",-34.5008504,-58.505802,vilo2
Maie Yoga,"La Paz 2125, Buenos Aires",-34.5003074,-58.5210076,san isidro
Marea~ espacio consciente ~ YOGA,"Av. Maipú 3986, Olivos",-34.4997574,-58.49696290000001,san isidro
Espacio Mantram,"Olaguer y Feliú 348, Martínez",-34.4983407,-58.50012239999999,san isidro
Centro Argentino de Yoga y Wellness,"San Lorenzo 2562, Martínez",-34.4966713,-58.5029583,san isidro
Loft Studio,"Av. Ada Elflein 4025, Buenos Aires",-34.4956122,-58.49026790000001,sanisidro2
AraYoga,"San Isidro Labrador 21, Martínez",-34.493878,-58.49768030000001,sanisidro2
Ashtanga Baires - Sede Acassuso,"DGA, Caracas 851, Martínez",-34.4934855,-58.5309347,sanisidro2
Yoga Savia,"Corvalan 979, Martínez",-34.4915299,-58.5248088,san isidro
Ekam Ashtanga Yoga,"Italia 2020, Martínez",-34.4910192,-58.5028354,san isidro
Ana Zubillaga,"Luis Sáenz Peña 1536, Martínez",-34.488495,-58.50762400000001,san isidro
Yoga Baires - Tradición Krishnamacharya KHYF,"Emilio Lamarca 327, Martínez",-34.4881467,-58.4964682,san isidro
Maas Yoga Martinez,"Gral. Paunero 1973, Martínez",-34.4871329,-58.4964288,san isidro
Yoga para Embarazadas y Postparto,"Gral. Paunero 1973, Martínez",-34.487128,-58.49642000000001,san isidro
Palo santo,"Av. Andres Rolon 816, San Isidro, Buenos Aires",-34.4745374,-58.53190410000001,san isidro
Pipi Faure Yoga,"Esteban de Luca 274, San Isidro",-34.4735605,-58.508577,san isidro
Clases de Yoga - Barby Leguizamón,"Ituzaingó 66, San Isidro",-34.4709304,-58.51504869999999,san isidro
Centro Yoga Real (Kundalini Shakti),"Gral. Paz 741, San Isidro",-34.4706321,-58.5228196,san isidro
Yoga como sistema de vida,"Juan Clark 1838, Béccar",-34.4699331,-58.5444293,san isidro
Centro de Yoga Narayana,"Los Sauces 1068, San Isidro",-34.4691625,-58.4998774,san isidro
Bodhi Yoga,"Coronel Obarrio y Lasalle, San Isidro",-34.4683842,-58.5044329,san isidro
Yoga Proyectomadre San Isidro,"Béccar Varela 754, San Isidro",-34.4674047,-58.5077024,san isidro
Espacio Garage Yoga,"Béccar Varela 754, San Isidro",-34.4674047,-58.50770159999999,san isidro
Animayoga,"Ituzaingó 590, San Isidro",-34.4669231,-58.5103883,sanisidro2
Yoga Darshana - Centro de Estudios Tradicionales - Vinyasa Yoga - Dinámico,"Magallanes, San Isidro",-34.4652858,-58.5080571,san isidro
Sakshi Yoga - Presencia y Consciencia,"1642 Bajo de, San Isidro",-34.4646125,-58.51727059999999,san isidro
